Student_ID,Semester,GPA,Attendance_per_Subject,Quiz_Score,Assignment_Completion,LMS_Activity,Weekly_Study_Hour,Social_Interaction_Score,Achievement_Points,Internship_Points,Financial_Support_Score,Scholarship_Status,Risk_Label
STU_00001,7,3.43,88.53,71,71.94,69,5.5,57,15,0,88,0,0
STU_00002,4,3.49,89.85,96,98.56,83,9.1,17,15,30,62,0,0
STU_00003,5,03.08,53.29,72,72.56,11,8.1,29,15,40,97,0,0
STU_00004,7,3.59,91.31,34,77.53,77,1.6,65,0,0,67,0,0
STU_00005,3,3.34,90.54,30,63.5,83,8.6,15,0,0,49,0,0
STU_00006,8,2.6,94.21,41,90.45,77,9.7,74,15,0,77,0,0
STU_00007,5,3.57,87.53,49,83.95,98,14.5,25,0,20,91,1,0
STU_00008,5,3.6,86.39,65,95.09,60,13.8,67,0,0,71,0,0
STU_00009,7,3.0,82.51,94,85.74,58,10.6,93,30,0,43,1,0
STU_00010,2,3.4,64.8,45,64.62,20,19.4,19,0,30,80,0,1
STU_00011,3,3.28,87.28,95,82.4,16,5.4,44,15,0,40,0,0
STU_00012,7,3.54,70.95,51,95.11,73,4.4,0,50,20,42,0,0
STU_00013,3,3.54,96.85,69,94.63,40,9.8,59,50,0,39,0,1
STU_00014,3,3.2,86.33,70,90.35,95,19.4,7,15,0,97,0,0
STU_00015,8,3.59,90.9,50,86.98,62,15.1,98,50,0,95,1,0
STU_00016,5,2.7,87.42,68,79.8,37,8.5,6,30,0,72,0,0
STU_00017,4,03.01,80.98,76,90.5,59,11.1,65,0,0,51,1,0
STU_00018,8,2.87,87.87,97,89.89,83,4.0,64,15,0,57,0,0
STU_00019,8,3.34,88.7,68,90.82,58,4.8,89,0,30,31,0,1
STU_00020,3,3.55,77.14,33,82.36,76,2.3,27,0,20,78,0,0
STU_00021,6,3.32,88.37,85,68.94,45,7.7,63,0,0,99,1,0
STU_00022,5,3.81,62.57,89,79.62,97,4.2,68,15,0,86,0,0
STU_00023,2,2.99,94.06,56,91.0,59,13.5,15,30,0,48,0,0
STU_00024,8,3.57,94.43,78,99.22,12,2.1,53,30,0,59,0,0
STU_00025,4,3.34,76.82,91,88.88,93,9.3,92,30,0,68,0,0
STU_00026,6,3.34,97.83,76,86.61,88,15.0,64,15,30,99,1,0
STU_00027,6,3.98,73.21,43,75.7,65,3.6,85,0,0,84,0,0
STU_00028,2,03.06,96.11,50,99.96,70,19.9,20,0,0,34,0,1
STU_00029,8,3.56,71.02,76,83.89,30,3.8,78,0,0,78,0,0
STU_00030,4,2.72,93.81,80,88.71,55,13.0,74,15,0,69,1,0
STU_00031,5,3.33,93.26,80,88.99,100,6.7,99,0,20,95,0,0
STU_00032,1,3.27,83.33,45,88.52,17,12.9,47,0,30,84,0,0
STU_00033,4,2.55,97.11,94,85.94,54,7.2,33,30,0,97,1,0
STU_00034,2,3.5,61.79,81,94.75,30,19.4,62,0,0,73,1,0
STU_00035,6,3.25,60.41,76,94.93,94,18.6,96,30,0,35,1,0
STU_00036,5,3.22,79.7,82,84.45,70,11.1,100,0,0,91,0,0
STU_00037,4,2.87,89.05,67,83.37,20,17.1,16,0,0,63,1,0
STU_00038,1,3.39,82.05,69,89.17,34,19.1,62,0,40,61,1,0
STU_00039,1,3.46,68.12,69,99.0,96,7.2,90,0,30,66,0,0
STU_00040,3,3.71,86.06,81,96.7,77,5.8,53,15,40,93,0,0
STU_00041,3,2.88,90.15,70,91.22,16,13.6,84,30,0,68,0,0
STU_00042,7,3.34,64.74,71,89.73,48,9.6,24,15,0,89,0,0
STU_00043,2,3.43,89.88,100,69.53,55,9.9,99,15,0,54,1,0
STU_00044,8,3.38,85.47,51,95.06,26,10.8,92,0,0,86,1,0
STU_00045,4,3.32,77.43,60,77.9,50,2.9,48,0,0,59,0,0
STU_00046,4,03.02,50.97,57,95.38,21,11.5,12,50,20,75,1,0
STU_00047,8,3.44,72.94,49,91.46,29,12.1,26,30,0,92,0,0
STU_00048,7,2.6,88.1,47,94.55,72,15.2,89,50,0,36,0,1
STU_00049,6,3.24,76.11,77,88.39,88,16.4,62,15,0,69,1,0
STU_00050,6,2.74,93.19,40,86.83,62,17.0,98,15,20,86,0,0
STU_00051,7,3.57,94.46,46,70.34,37,13.4,91,15,20,30,0,1
STU_00052,6,3.53,90.69,30,79.47,77,16.9,7,0,0,31,0,1
STU_00053,3,3.59,98.26,47,67.84,47,11.0,30,0,40,81,0,0
STU_00054,4,3.24,85.62,63,96.38,70,13.3,62,15,20,72,0,0
STU_00055,7,2.79,71.61,44,99.01,42,3.4,46,0,0,65,0,0
STU_00056,4,2.37,75.39,43,91.21,96,8.2,27,0,20,73,0,1
STU_00057,8,2.72,65.04,90,92.26,77,15.5,0,0,20,44,0,0
STU_00058,1,3.91,64.42,77,91.18,43,17.8,41,0,20,34,0,1
STU_00059,3,3.77,85.72,63,79.43,45,7.8,54,0,0,55,0,0
STU_00060,5,3.6,91.47,49,84.36,31,6.8,32,15,0,73,0,0
STU_00061,3,2.64,88.45,42,87.77,12,2.7,57,15,0,59,0,0
STU_00062,7,3.35,92.86,51,94.89,73,4.3,72,0,20,62,0,0
STU_00063,5,3.66,87.12,59,69.94,23,8.4,89,30,20,95,0,0
STU_00064,1,2.99,66.57,51,60.71,20,14.0,78,50,0,48,1,0
STU_00065,7,3.37,82.71,37,84.52,87,12.1,57,0,0,34,0,1
STU_00066,2,3.73,73.16,64,99.62,46,5.2,11,0,30,45,0,0
STU_00067,4,3.85,90.13,98,76.0,41,12.9,80,0,0,66,1,0
STU_00068,1,3.83,81.32,79,99.44,52,8.9,63,15,20,59,1,0
STU_00069,4,2.96,78.26,31,77.48,65,4.6,69,0,0,92,0,0
STU_00070,6,3.14,86.14,83,87.99,39,14.1,2,0,40,56,0,0
STU_00071,2,3.54,61.8,77,89.74,25,14.3,16,15,0,99,0,0
STU_00072,2,3.64,93.34,97,78.3,92,3.8,69,0,0,81,0,0
STU_00073,1,2.56,65.28,61,77.79,27,7.1,0,0,0,55,1,0
STU_00074,2,3.48,70.77,62,88.01,91,9.7,27,30,20,38,1,0
STU_00075,5,3.46,82.51,41,98.74,66,6.0,94,0,0,53,0,0
STU_00076,2,3.67,73.36,34,90.46,37,2.1,30,15,0,95,1,0
STU_00077,4,2.85,83.07,88,68.77,10,12.1,39,15,20,62,0,0
STU_00078,4,3.42,82.39,94,84.16,71,5.9,97,0,0,89,0,0
STU_00079,7,3.15,55.23,86,82.39,39,19.1,59,0,0,80,0,0
STU_00080,4,3.35,78.6,82,79.47,46,2.9,73,30,0,63,0,0
STU_00081,7,3.71,93.87,55,94.11,37,6.1,46,30,0,46,0,0
STU_00082,4,3.45,70.51,34,87.09,81,4.2,92,30,0,98,1,0
STU_00083,5,3.58,85.13,100,82.4,23,8.8,41,15,20,84,0,0
STU_00084,8,3.83,65.44,59,94.98,10,19.6,32,30,40,52,0,0
STU_00085,7,3.3,87.8,90,86.74,29,1.9,0,15,0,92,0,0
STU_00086,3,3.81,83.7,34,82.77,100,13.7,88,0,0,53,0,0
STU_00087,6,3.62,67.1,32,95.6,90,16.6,86,15,20,60,1,1
STU_00088,1,2.37,80.08,94,91.05,83,17.8,94,30,0,32,0,1
STU_00089,4,3.7,92.37,54,92.54,49,15.8,47,15,30,41,0,0
STU_00090,2,3.12,84.96,98,93.32,65,12.7,60,0,20,40,1,0
STU_00091,8,3.3,78.99,34,76.87,90,12.6,21,0,20,75,0,0
STU_00092,4,3.39,92.86,100,83.74,24,12.5,24,0,20,51,0,0
STU_00093,2,2.95,71.21,32,94.99,63,2.2,52,15,0,39,0,1
STU_00094,6,3.4,82.1,70,94.75,11,6.0,59,30,0,31,0,1
STU_00095,6,3.5,72.24,77,92.95,12,14.1,28,0,20,53,1,0
STU_00096,6,2.87,99.19,44,93.88,14,9.1,60,30,20,51,0,0
STU_00097,2,3.23,73.76,87,90.57,43,3.0,83,50,30,55,1,0
STU_00098,4,3.21,53.85,38,94.86,45,15.5,93,15,0,35,0,1
STU_00099,6,3.62,80.99,98,82.31,96,15.2,50,0,0,68,0,0
STU_00100,5,3.64,88.87,66,85.02,35,4.8,33,15,0,30,0,1
STU_00101,7,3.67,97.93,92,96.07,18,18.7,45,0,0,96,0,0
STU_00102,2,3.74,86.23,54,76.08,100,16.7,28,15,30,90,1,0
STU_00103,2,3.68,92.74,75,82.42,13,17.6,3,0,0,100,0,0
STU_00104,4,3.37,90.69,36,94.6,86,2.8,9,0,30,76,0,0
STU_00105,2,2.21,70.31,59,91.76,36,6.3,43,30,0,72,1,1
STU_00106,2,3.14,72.31,99,86.58,87,12.7,71,15,20,73,1,0
STU_00107,6,3.64,94.86,83,78.16,91,17.0,16,0,0,64,0,0
STU_00108,4,3.18,85.3,80,85.03,27,11.0,41,15,0,58,0,0
STU_00109,6,2.62,96.99,46,87.38,34,11.7,65,0,40,55,1,0
STU_00110,7,3.13,63.09,86,88.24,65,10.3,1,0,0,52,0,0
STU_00111,8,3.43,56.52,53,77.25,99,4.2,0,0,0,86,0,1
STU_00112,7,3.71,90.06,73,81.83,75,10.3,90,0,0,82,1,0
STU_00113,8,3.71,79.55,44,91.32,60,12.5,3,30,0,36,0,1
STU_00114,6,3.5,52.15,69,81.44,10,17.2,27,15,40,53,1,0
STU_00115,7,3.81,81.77,48,97.83,58,8.4,20,0,20,80,0,0
STU_00116,4,3.47,96.81,35,86.71,77,19.0,100,0,20,53,0,0
STU_00117,1,3.8,71.77,85,86.82,34,10.5,53,0,20,85,0,0
STU_00118,6,03.07,93.74,76,88.03,58,16.4,100,30,0,99,1,0
STU_00119,8,3.5,67.1,36,84.86,43,11.5,47,0,40,51,1,0
STU_00120,5,3.37,90.29,67,92.5,77,3.9,27,15,40,88,0,0
STU_00121,8,3.49,94.5,74,75.58,74,7.4,33,0,0,33,0,1
STU_00122,5,03.09,96.87,76,90.91,100,1.7,50,50,0,50,0,0
STU_00123,2,3.53,76.45,75,72.21,87,10.2,46,0,0,84,0,0
STU_00124,7,3.82,85.79,92,92.61,23,8.5,6,30,20,38,0,1
STU_00125,5,3.38,93.03,86,95.68,19,19.3,98,15,20,69,0,0
STU_00126,8,3.37,77.65,57,87.47,100,19.8,74,15,30,36,0,1
STU_00127,2,3.67,77.68,90,88.74,52,16.2,87,0,0,74,0,0
STU_00128,1,3.54,85.19,58,86.58,72,16.0,2,15,0,80,0,0
STU_00129,4,3.36,73.86,46,80.08,22,13.3,79,0,0,39,0,1
STU_00130,4,03.01,72.23,91,70.64,18,5.2,41,0,0,45,0,0
STU_00131,4,3.37,98.49,59,84.3,15,12.8,78,15,30,51,0,0
STU_00132,5,2.73,74.98,82,88.45,91,12.7,86,0,30,99,0,0
STU_00133,1,3.16,90.7,71,80.79,50,8.5,40,0,20,50,1,0
STU_00134,5,3.57,95.44,45,86.01,23,9.0,86,15,40,59,0,0
STU_00135,7,3.87,69.04,60,75.82,23,16.5,74,0,0,82,0,0
STU_00136,5,3.72,97.04,75,85.48,84,11.5,5,15,40,56,1,0
STU_00137,1,2.82,81.89,51,82.47,79,14.3,7,0,0,53,0,0
STU_00138,1,2.87,96.98,68,86.31,77,13.8,90,30,0,70,0,0
STU_00139,7,3.79,67.1,92,94.64,60,15.3,63,0,0,36,0,1
STU_00140,1,3.44,90.18,88,94.67,98,3.3,36,15,0,56,1,0
STU_00141,8,3.45,84.04,33,71.44,22,6.0,38,0,0,77,1,0
STU_00142,1,3.55,89.05,65,80.05,96,17.7,93,30,0,75,0,0
STU_00143,4,2.98,51.66,74,85.34,62,8.2,96,0,20,95,0,0
STU_00144,8,3.43,96.55,34,85.05,81,10.0,27,15,0,41,1,0
STU_00145,8,3.32,91.4,49,90.76,44,1.1,12,50,0,71,0,0
STU_00146,7,3.75,89.08,52,69.98,75,18.4,98,50,0,32,0,1
STU_00147,3,3.24,81.62,90,95.93,80,2.5,3,0,20,31,0,1
STU_00148,3,3.33,79.96,38,76.48,52,17.6,0,0,0,81,0,0
STU_00149,1,03.04,95.04,55,85.89,79,6.1,16,15,30,36,1,0
STU_00150,8,3.81,77.36,87,70.79,85,19.1,53,50,0,56,1,0
STU_00151,3,3.51,63.79,87,95.85,42,4.7,95,0,0,68,0,0
STU_00152,3,3.2,99.92,39,86.43,22,1.4,5,0,0,55,0,0
STU_00153,1,2.89,72.89,63,93.57,72,9.7,41,30,40,76,0,0
STU_00154,3,2.97,89.35,36,98.93,77,18.8,84,50,0,89,0,0
STU_00155,5,2.96,93.52,45,86.75,11,10.1,22,15,0,36,0,1
STU_00156,2,3.29,82.8,31,74.28,56,17.7,86,0,20,62,0,0
STU_00157,7,3.61,83.68,46,96.46,70,1.6,81,0,20,86,0,0
STU_00158,2,3.73,61.03,90,86.33,70,17.9,70,15,0,56,0,0
STU_00159,1,3.0,79.85,90,80.46,82,7.1,46,15,0,61,0,0
STU_00160,4,3.53,93.57,88,98.74,28,9.8,71,30,0,62,1,0
STU_00161,7,3.92,93.57,73,90.14,16,10.0,75,15,0,68,1,0
STU_00162,1,2.97,80.95,44,83.08,77,17.8,4,0,30,43,0,0
STU_00163,8,3.54,44.47,83,96.42,63,4.9,68,30,0,70,0,0
STU_00164,4,3.1,70.86,60,61.04,45,6.5,21,50,0,35,1,0
STU_00165,2,3.21,96.63,63,81.44,59,1.5,16,0,0,89,1,0
STU_00166,1,03.09,65.53,36,86.22,43,9.1,91,15,0,90,0,1
STU_00167,8,2.91,88.41,57,77.91,63,4.1,42,0,30,40,0,0
STU_00168,7,3.42,89.4,61,93.74,19,6.4,93,15,0,96,0,0
STU_00169,7,3.81,69.57,88,87.44,85,4.3,8,0,20,31,0,1
STU_00170,6,2.9,69.05,47,87.83,72,9.4,2,30,20,57,0,1
STU_00171,8,2.79,68.72,43,87.18,11,19.0,97,0,40,70,0,0
STU_00172,5,3.67,84.22,72,79.72,36,1.5,35,50,0,83,1,0
STU_00173,3,03.01,89.93,34,87.64,53,19.4,16,0,0,43,0,0
STU_00174,4,3.57,77.65,67,94.36,26,12.9,63,15,20,42,0,0
STU_00175,8,3.64,94.23,81,89.44,15,11.1,93,15,0,34,1,0
STU_00176,6,3.62,75.19,38,95.97,75,10.2,15,0,0,79,1,0
STU_00177,3,3.49,90.46,49,87.23,62,8.9,74,15,0,92,0,0
STU_00178,3,3.4,56.21,90,86.68,98,11.9,100,15,0,70,1,0
STU_00179,1,03.01,91.12,64,88.28,84,1.4,60,15,0,63,0,0
STU_00180,3,3.86,79.61,78,95.67,26,14.1,15,0,40,44,0,0
STU_00181,5,2.9,60.22,80,85.48,74,6.0,49,30,30,80,1,0
STU_00182,7,3.47,77.29,42,98.81,24,17.0,71,0,0,87,0,0
STU_00183,6,3.27,65.53,90,93.96,28,3.3,42,0,0,53,1,0
STU_00184,3,2.71,74.61,47,85.65,10,8.5,86,15,0,52,0,0
STU_00185,1,3.62,69.88,78,80.19,37,16.3,4,0,0,82,0,0
STU_00186,5,3.84,83.26,55,78.24,31,8.6,49,15,0,64,0,0
STU_00187,2,3.83,83.54,62,92.94,89,1.4,95,30,0,55,1,0
STU_00188,7,3.39,87.63,96,86.82,34,12.5,70,15,0,69,1,0
STU_00189,7,3.46,74.82,96,84.2,12,16.7,73,50,0,93,0,0
STU_00190,6,2.95,83.34,77,81.8,42,7.8,88,0,40,96,0,0
STU_00191,7,3.59,75.44,44,90.68,71,4.4,79,50,0,30,0,1
STU_00192,3,3.17,71.61,49,89.2,40,6.6,77,0,20,83,1,0
STU_00193,1,3.55,81.88,59,98.09,39,5.2,41,15,30,98,0,0
STU_00194,7,3.6,88.19,97,88.67,68,9.5,66,0,0,36,0,1
STU_00195,7,3.63,85.11,85,81.5,25,15.5,89,0,0,93,1,0
STU_00196,2,3.59,54.06,98,94.74,14,1.7,99,0,0,68,1,0
STU_00197,2,03.01,94.41,80,88.45,10,7.0,68,0,20,31,1,0
STU_00198,4,2.94,72.25,82,81.8,97,12.2,96,0,0,40,1,0
STU_00199,5,3.78,71.85,61,89.49,35,11.5,9,0,0,45,0,0
STU_00200,3,3.55,82.6,58,71.95,21,9.0,97,0,40,41,0,0
